in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
2.76E+02,2.371E+02,-7.552E-01,-1.709E+02,4.000E-02
2.77E+02,2.399E+02,-7.625E-01,-1.719E+02,4.000E-02
2.78E+02,2.427E+02,-7.356E-01,-1.716E+02,4.000E-02
2.79E+02,2.455E+02,-7.948E-01,-1.730E+02,4.000E-02
2.80E+02,2.483E+02,-7.377E-01,-1.734E+02,4.000E-02
2.81E+02,2.512E+02,-8.580E-01,-1.737E+02,4.000E-02
2.82E+02,2.541E+02,-6.956E-01,-1.742E+02,4.000E-02
2.83E+02,2.570E+02,-7.044E-01,-1.746E+02,4.000E-02
2.84E+02,2.600E+02,-7.716E-01,-1.747E+02,4.000E-02
2.85E+02,2.630E+02,-5.588E-01,-1.751E+02,4.000E-02
2.86E+02,2.661E+02,-7.421E-01,-1.756E+02,4.000E-02
2.87E+02,2.692E+02,-6.455E-01,-1.759E+02,4.000E-02
2.88E+02,2.723E+02,-5.038E-01,-1.771E+02,4.000E-02
2.89E+02,2.754E+02,-5.545E-01,-1.767E+02,4.000E-02
2.90E+02,2.786E+02,-4.110E-01,-1.772E+02,4.000E-02
2.91E+02,2.818E+02,-5.544E-01,-1.789E+02,4.000E-02
2.92E+02,2.851E+02,-6.252E-01,-1.778E+02,4.000E-02
2.93E+02,2.884E+02,-5.742E-01,-1.792E+02,4.000E-02
2.94E+02,2.917E+02,-5.291E-01,-1.792E+02,4.000E-02
2.95E+02,2.951E+02,-5.951E-01,-1.789E+02,4.000E-02
2.96E+02,2.985E+02,-3.643E-01,-1.795E+02,4.000E-02
2.97E+02,3.020E+02,-4.278E-01,1.793E+02,4.000E-02
2.98E+02,3.055E+02,-3.767E-01,1.797E+02,4.000E-02
2.99E+02,3.090E+02,-4.858E-01,1.785E+02,4.000E-02
3.00E+02,3.126E+02,-5.234E-01,1.783E+02,4.000E-02
3.01E+02,3.162E+02,-4.320E-01,1.781E+02,4.000E-02
3.02E+02,3.199E+02,-3.970E-01,1.772E+02,4.000E-02
3.03E+02,3.236E+02,-4.101E-01,1.763E+02,4.000E-02
3.04E+02,3.273E+02,-4.178E-01,1.772E+02,4.000E-02
3.05E+02,3.311E+02,-5.311E-01,1.767E+02,4.000E-02
3.06E+02,3.350E+02,-2.312E-01,1.756E+02,4.000E-02
3.07E+02,3.388E+02,-1.975E-01,1.755E+02,4.000E-02
3.08E+02,3.428E+02,-4.408E-01,1.741E+02,4.000E-02
3.09E+02,3.467E+02,-2.306E-01,1.747E+02,4.000E-02
3.10E+02,3.508E+02,-1.537E-01,1.734E+02,4.000E-02
3.11E+02,3.548E+02,-3.983E-01,1.724E+02,4.000E-02
3.12E+02,3.589E+02,-5.221E-01,1.727E+02,4.000E-02
3.13E+02,3.631E+02,-2.969E-01,1.714E+02,4.000E-02
3.14E+02,3.673E+02,-4.079E-01,1.722E+02,4.000E-02
3.15E+02,3.715E+02,-3.387E-01,1.722E+02,4.000E-02
3.16E+02,3.758E+02,-2.093E-01,1.705E+02,4.000E-02
3.17E+02,3.802E+02,-2.057E-01,1.700E+02,4.000E-02
